,forest,urban,water,crop,glacier,carbon,climate,water quality,climate change,soil erosion,urban expansion,ecosystem,habitat,ecosystem service,surface temperature,biomass,google earth engine,gis,object based image,machine learning,neural network,support vector machine,time series,change detection,random forest,normalized difference vegetation index,land surface temperature,normalized difference water index,digital elevation model,normalized difference built index,leaf area index,land use land cover
0,521,13,4,1,1,86,12,1,44,3,1,133,36,21,15,80,12,24,8,34,25,23,117,21,108,47,12,8,21,1,20,23
1,13,393,8,0,0,10,13,2,20,0,79,36,5,18,134,3,7,25,7,5,8,17,37,13,14,38,123,4,7,17,2,72
2,4,8,311,12,2,10,12,56,30,3,2,58,14,5,16,7,11,10,1,8,7,12,43,9,20,16,8,30,17,1,2,15
3,1,0,12,111,0,2,1,1,0,0,0,1,0,0,5,3,6,5,2,9,9,9,40,3,16,26,4,0,2,0,11,1
4,1,0,2,0,105,1,3,0,24,0,0,0,0,0,6,0,0,3,0,3,2,1,7,2,2,1,3,1,18,0,0,0
5,86,10,10,2,1,264,9,6,37,4,2,96,16,20,8,64,5,14,6,19,11,9,47,4,35,20,3,0,9,0,4,14
6,12,13,12,1,3,9,115,1,55,0,0,28,4,3,25,5,3,4,3,3,3,1,15,3,8,16,19,4,4,1,1,9
7,1,2,56,1,0,6,1,122,8,2,1,22,4,2,4,2,3,5,0,2,3,4,12,3,7,4,0,4,3,1,0,6
8,44,20,30,0,24,37,55,8,322,4,1,82,12,16,40,16,11,11,1,11,5,12,54,13,23,32,32,4,13,0,3,27
9,3,0,3,0,0,4,0,2,4,54,0,11,0,2,1,1,1,5,1,1,4,1,3,4,3,5,1,1,6,0,1,13
10,1,79,2,0,0,2,0,1,1,0,125,15,1,6,26,0,1,12,3,3,3,9,14,9,1,7,23,0,1,2,0,26
11,133,36,58,1,0,96,28,22,82,11,15,653,69,128,35,53,24,38,14,31,15,24,115,31,67,73,27,16,19,1,16,53
12,36,5,14,0,0,16,4,4,12,0,1,69,191,13,5,10,5,14,5,4,5,6,23,5,15,18,2,7,4,0,3,16
13,21,18,5,0,0,20,3,2,16,2,6,128,13,128,5,8,6,6,4,5,2,5,13,2,9,7,5,1,2,0,0,19
14,15,134,16,5,6,8,25,4,40,1,26,35,5,5,435,5,5,16,2,4,9,15,32,8,17,82,343,12,11,19,8,55
15,80,3,7,3,0,64,5,2,16,1,0,53,10,8,5,187,3,5,3,18,13,8,31,6,36,33,3,3,3,0,13,4
16,12,7,11,6,0,5,3,3,11,1,1,24,5,6,5,3,135,6,0,17,3,2,36,7,31,12,5,2,4,0,1,7
17,24,25,10,5,3,14,4,5,11,5,12,38,14,6,16,5,6,290,2,11,17,16,28,17,22,22,12,4,22,3,4,37
18,8,7,1,2,0,6,3,0,1,1,3,14,5,4,2,3,0,2,61,4,0,5,9,4,12,2,2,1,4,0,0,14
19,34,5,8,9,3,19,3,2,11,1,3,31,4,5,4,18,17,11,4,172,36,38,36,16,85,17,4,2,15,0,5,6
20,25,8,7,9,2,11,3,3,5,4,3,15,5,2,9,13,3,17,0,36,186,65,18,13,39,14,7,2,8,1,4,15
21,23,17,12,9,1,9,1,4,12,1,9,24,6,5,15,8,2,16,5,38,65,219,33,20,54,28,12,5,7,1,1,31
22,117,37,43,40,7,47,15,12,54,3,14,115,23,13,32,31,36,28,9,36,18,33,680,55,88,127,25,17,18,2,15,30
23,21,13,9,3,2,4,3,3,13,4,9,31,5,2,8,6,7,17,4,16,13,20,55,218,26,35,7,10,6,2,0,43
24,108,14,20,16,2,35,8,7,23,3,1,67,15,9,17,36,31,22,12,85,39,54,88,26,349,38,13,5,28,2,9,28
25,47,38,16,26,1,20,16,4,32,5,7,73,18,7,82,33,12,22,2,17,14,28,127,35,38,485,71,47,15,26,10,43
26,12,123,8,4,3,3,19,0,32,1,23,27,2,5,343,3,5,12,2,4,7,12,25,7,13,71,343,10,10,18,6,51
27,8,4,30,0,1,0,4,4,4,1,0,16,7,1,12,3,2,4,1,2,2,5,17,10,5,47,10,107,4,10,0,3
28,21,7,17,2,18,9,4,3,13,6,1,19,4,2,11,3,4,22,4,15,8,7,18,6,28,15,10,4,192,1,1,12
29,1,17,1,0,0,0,1,1,0,0,2,1,0,0,19,0,0,3,0,0,1,1,2,2,2,26,18,10,1,42,0,8
30,20,2,2,11,0,4,1,0,3,1,0,16,3,0,8,13,1,4,0,5,4,1,15,0,9,10,6,0,1,0,78,1
31,23,72,15,1,0,14,9,6,27,13,26,53,16,19,55,4,7,37,14,6,15,31,30,43,28,43,51,3,12,8,1,362
