,forest,urban,water,crop,glacier,carbon,climate,water quality,climate change,soil erosion,urban expansion,ecosystem,habitat,ecosystem service,surface temperature,biomass,google earth engine,gis,object based image,machine learning,neural network,support vector machine,time series,change detection,random forest,normalized difference vegetation index,land surface temperature,normalized difference water index,digital elevation model,normalized difference built index,leaf area index,land use land cover
0,345,16,3,2,1,49,7,3,32,7,4,91,31,15,17,36,34,24,2,27,12,15,80,26,91,37,14,7,15,0,6,33
1,16,360,7,0,0,15,10,5,27,2,78,27,4,6,135,4,14,28,7,14,14,11,32,19,22,39,124,11,6,12,1,76
2,3,7,283,12,0,6,9,61,32,1,2,46,10,4,15,5,24,9,0,13,11,9,39,4,14,21,5,29,9,0,4,10
3,2,0,12,62,0,2,1,1,2,1,0,0,0,0,5,4,6,5,1,8,5,2,22,3,16,9,4,1,0,0,1,0
4,1,0,0,0,87,0,3,0,17,0,0,1,0,0,1,0,1,5,1,1,3,1,9,1,2,1,0,0,14,0,0,0
5,49,15,6,2,0,193,2,5,36,4,2,74,15,16,14,31,19,8,0,16,8,7,35,6,31,21,10,2,6,0,6,13
6,7,10,9,1,3,2,99,0,55,1,4,22,6,1,16,3,3,5,0,3,6,2,15,1,4,14,12,4,2,0,0,12
7,3,5,61,1,0,5,0,119,5,2,2,23,4,3,6,4,8,5,0,11,7,3,11,2,10,9,2,1,5,0,0,11
8,32,27,32,2,17,36,55,5,325,5,13,86,22,17,51,11,34,18,2,20,20,13,54,9,38,49,42,18,11,5,2,47
9,7,2,1,1,0,4,1,2,5,46,2,7,1,1,3,0,2,5,0,1,0,1,5,4,3,5,3,0,7,0,0,10
10,4,78,2,0,0,2,4,2,13,2,118,12,4,5,30,0,8,13,1,4,2,7,10,11,10,9,25,2,0,3,1,37
11,91,27,46,0,1,74,22,23,86,7,12,534,65,97,38,31,53,30,3,26,15,17,101,25,55,66,28,21,10,3,10,68
12,31,4,10,0,0,15,6,4,22,1,4,65,188,15,8,8,16,14,0,10,2,8,27,9,21,17,5,3,10,0,2,21
13,15,6,4,0,0,16,1,3,17,1,5,97,15,97,6,3,13,9,0,7,2,5,15,3,13,8,5,5,2,0,0,19
14,17,135,15,5,1,14,16,6,51,3,30,38,8,6,423,4,9,20,2,19,17,8,42,11,25,91,346,23,10,17,7,69
15,36,4,5,4,0,31,3,4,11,0,0,31,8,3,4,114,3,5,0,9,5,4,15,2,18,13,3,2,1,0,10,5
16,34,14,24,6,1,19,3,8,34,2,8,53,16,13,9,3,264,15,0,33,2,11,83,19,90,38,6,17,8,2,3,25
17,24,28,9,5,5,8,5,5,18,5,13,30,14,9,20,5,15,239,2,13,13,8,32,21,20,27,12,9,9,0,4,44
18,2,7,0,1,1,0,0,0,2,0,1,3,0,0,2,0,0,2,27,3,2,7,4,3,7,3,2,0,1,0,0,5
19,27,14,13,8,1,16,3,11,20,1,4,26,10,7,19,9,33,13,3,205,43,48,24,10,96,16,19,10,8,3,3,18
20,12,14,11,5,3,8,6,7,20,0,2,15,2,2,17,5,2,13,2,43,197,41,21,10,38,14,16,11,9,3,5,20
21,15,11,9,2,1,7,2,3,13,1,7,17,8,5,8,4,11,8,7,48,41,145,8,12,52,11,8,9,3,3,1,22
22,80,32,39,22,9,35,15,11,54,5,10,101,27,15,42,15,83,32,4,24,21,8,528,43,71,92,36,23,13,3,8,39
23,26,19,4,3,1,6,1,2,9,4,11,25,9,3,11,2,19,21,3,10,10,12,43,178,15,9,8,5,2,1,1,49
24,91,22,14,16,2,31,4,10,38,3,10,55,21,13,25,18,90,20,7,96,38,52,71,15,338,32,21,11,21,3,4,33
25,37,39,21,9,1,21,14,9,49,5,9,66,17,8,91,13,38,27,3,16,14,11,92,9,32,370,83,63,15,23,11,32
26,14,124,5,4,0,10,12,2,42,3,25,28,5,5,346,3,6,12,2,19,16,8,36,8,21,83,346,22,9,16,4,67
27,7,11,29,1,0,2,4,1,18,0,2,21,3,5,23,2,17,9,0,10,11,9,23,5,11,63,22,125,8,14,1,13
28,15,6,9,0,14,6,2,5,11,7,0,10,10,2,10,1,8,9,1,8,9,3,13,2,21,15,9,8,129,0,0,13
29,0,12,0,0,0,0,0,0,5,0,3,3,0,0,17,0,2,0,0,3,3,3,3,1,3,23,16,14,0,35,0,8
30,6,1,4,1,0,6,0,0,2,0,1,10,2,0,7,10,3,4,0,3,5,1,8,1,4,11,4,1,0,0,44,2
31,33,76,10,0,0,13,12,11,47,10,37,68,21,19,69,5,25,44,5,18,20,22,39,49,33,32,67,13,13,8,2,388
