Title,Affiliation,Cited By Count,Aggregation Type,Author Keywords,Index Keywords,Abstract,Description,DOI,eid,Open Access?
INTERACTIVE IMAGE PROCESSING AT ROME AIR DEVELOPMENT CENTER.,"['', '', '', '']",0,Journal,[],[],"This paper is a comprehensive summary report of efforts that the Rome Air Development Center (RADC) has undertaken over the past several years to develop and use DICIFER - an interactive, on-line image processing system. DICIFER is a display-oriented, minicomputer system dedicated to developing, testing, and evaluating computer techniques for information extraction from (and interpretive exploitation of) digital activities of the Department of Defense. Work to date has included the processing of black-and-white and multispectral reconnaissance photography, side-looking synthetic aperture radar imagery, forward-looking infrared imagery, LANDSAT imagery.","This paper is a comprehensive summary report of efforts that the Rome Air Development Center (RADC) has undertaken over the past several years to develop and use DICIFER - an interactive, on-line image processing system. DICIFER is a display-oriented, minicomputer system dedicated to developing, testing, and evaluating computer techniques for information extraction from (and interpretive exploitation of) digital activities of the Department of Defense. Work to date has included the processing of black-and-white and multispectral reconnaissance photography, side-looking synthetic aperture radar imagery, forward-looking infrared imagery, LANDSAT imagery.",,2-s2.0-0017630068,
REDUCING LANDSAT DATA TO PARAMETERS WITH PHYSICAL SIGNIFICANCE AND SIGNATURE EXTENSION - A VIEW OF LANDSAT CAPABILITIES.,"['', '', '', '']",11,Journal,[],['LANDSAT DATA'],"The premise of this paper is that LANDSAT is capable of sensing only a few physical parameters; all computer processing and recognition schemes for LANDSAT data can be successful only to the extent that the desired classifications correlate with, or are designated by, these physical parameters. When this is not the case, automatic recognition results can become highly circumstantial and often hopelessly ambiguous. Although some limited differentiation of plant species can be done by computer processing, most often separation of vegetation types is less dependent on species differences than on differences caused by topography or content of vigorous vegetation. Much of the contrast provided in LANDSAT data is provided by differences in vegetation cover. Examples are discussed of physical relationships in the spectral configuration of the LANDSAT multispectral scanner. The paper suggests the importance of isolating and documenting these relationships so that enhancement, categorical analysis, and image interpretation can better be based upon criteria with physical significance, providing spatial and temporal extension.","The premise of this paper is that LANDSAT is capable of sensing only a few physical parameters; all computer processing and recognition schemes for LANDSAT data can be successful only to the extent that the desired classifications correlate with, or are designated by, these physical parameters. When this is not the case, automatic recognition results can become highly circumstantial and often hopelessly ambiguous. Although some limited differentiation of plant species can be done by computer processing, most often separation of vegetation types is less dependent on species differences than on differences caused by topography or content of vigorous vegetation. Much of the contrast provided in LANDSAT data is provided by differences in vegetation cover. Examples are discussed of physical relationships in the spectral configuration of the LANDSAT multispectral scanner. The paper suggests the importance of isolating and documenting these relationships so that enhancement, categorical analysis, and image interpretation can better be based upon criteria with physical significance, providing spatial and temporal extension.",,2-s2.0-0017629554,
VIEW ANGLE IN LANDSAT IMAGERY.,"['', '', '', '']",4,Journal,[],"['INTERPRETATION', 'LANDSAT IMAGERY', 'VIEW ANGLE EFFECT']","The LANDSAT multispectral scanner scans over a range of view angles of minus 5. 78 to 5. 78 degrees. The view angle effect, which is caused by differing view angles, could be studied by comparing data collected at different view angles over a fixed location at a fixed time. Since such LANDSAT data is not available, consecutive day acquisition data were used as a substitute. The study shows that there is approximately a 5% reduction in the average sensor response on the second-day acquisitions as compared with the first-day acquisitions, and that the view angle effect differs field to field and crop to crop. On false infrared color pictures the view angle effect causes changes primarily in brightness and to a lesser degree in color.","The LANDSAT multispectral scanner scans over a range of view angles of minus 5. 78 to 5. 78 degrees. The view angle effect, which is caused by differing view angles, could be studied by comparing data collected at different view angles over a fixed location at a fixed time. Since such LANDSAT data is not available, consecutive day acquisition data were used as a substitute. The study shows that there is approximately a 5% reduction in the average sensor response on the second-day acquisitions as compared with the first-day acquisitions, and that the view angle effect differs field to field and crop to crop. On false infrared color pictures the view angle effect causes changes primarily in brightness and to a lesser degree in color.",,2-s2.0-0017629553,
LANDSAT-D THEMATIC MAPPER SIMULATION USING AIRCRAFT MULTISPECTRAL SCANNER DATA.,"['', '', '', '']",10,Journal,[],"['LANDSAT-D', 'THEMATIC MAPPERS']","A simulation of imagery from the upcoming LANDSAT-D Thematic Mapper was accomplished by using selected channels of 24-channels aircraft multispectral scanner (MSS) data. The purpose was to simulate Thematic Mapper 30-meter resolution imagery and compare its spectral quality with the original aircraft MSS data and determine changes in thematic classification accuracy for the simulated imagery. The original resolution of approximately 7. 5 meters IFOV and simulated resolution of 15, 30, and 60 meters were used to indicate the trend of spectral quality and classification accuracy. The study was based in a 6. 5 square kilometer area of urban Los Angeles having a diversity of land use.","A simulation of imagery from the upcoming LANDSAT-D Thematic Mapper was accomplished by using selected channels of 24-channels aircraft multispectral scanner (MSS) data. The purpose was to simulate Thematic Mapper 30-meter resolution imagery and compare its spectral quality with the original aircraft MSS data and determine changes in thematic classification accuracy for the simulated imagery. The original resolution of approximately 7. 5 meters IFOV and simulated resolution of 15, 30, and 60 meters were used to indicate the trend of spectral quality and classification accuracy. The study was based in a 6. 5 square kilometer area of urban Los Angeles having a diversity of land use.",,2-s2.0-0017629550,
Another look at strip farming in southern Alberta.,"['', '', '', '']",0,Journal,[],[],The extent of strip farming in S.Alberta in 1977 was assessed using images provided by the Landsat satellites. There appeared to be very little effective strip farming in this part of the province. The advantages of the satellite method over the aerial photography process used in 1955-65 are considered.-from Field Crop Abstracts,The extent of strip farming in S.Alberta in 1977 was assessed using images provided by the Landsat satellites. There appeared to be very little effective strip farming in this part of the province. The advantages of the satellite method over the aerial photography process used in 1955-65 are considered.-from Field Crop Abstracts,,2-s2.0-0017627913,
(A study of the marshes of the Donana National Park using ERTS-1 satellite). Estudio de las marismas del Parque Nacional de Donana utilizando imagenes del satelite ERTS-l.,"['', '', '', '']",0,Journal,[],"['Donana National Park', 'flooded surface', 'Guadalquivir River', 'infrared images']",Landsat 1 MSS images have been used to estimate the extension of flooding over the marshes of Guadalquivir river (including Donana National Park). A series of images corresponding to a yearly cycle (1973) were used. Infra red images that discriminate best the water surfaces were used to estimate the flooded surface. In its maximum it reaches some 30 000 Ha. early in the spring. By the end of summer the flooded area accounts to about 100 Ha. Images of the visible bands were interpreted to produce a geomorphological sketch of the area. -from English summary,Landsat 1 MSS images have been used to estimate the extension of flooding over the marshes of Guadalquivir river (including Donana National Park). A series of images corresponding to a yearly cycle (1973) were used. Infra red images that discriminate best the water surfaces were used to estimate the flooded surface. In its maximum it reaches some 30 000 Ha. early in the spring. By the end of summer the flooded area accounts to about 100 Ha. Images of the visible bands were interpreted to produce a geomorphological sketch of the area. -from English summary,,2-s2.0-0017627872,
The effect of the atmosphere on the classification of satellite observations to identify surface features,"['', '', '', '']",33,Journal,[],[],"The effect of differences in atmospheric turbidity on the classification of Landsat 1 observations of a rural scene is presented. The observations are classified by an unsupervised clustering technique. These clusters serve as a training set for use of a maximum likelihood algorithm. The measured radiances in each of the four spectral bands are then changed by amounts measured by Landsat 1. These changes can be associated with a 1.3 decrease in atmospheric turbidity. The classification of 22% of the pixels changes as a result of the modification. The modified observations are then reclassified as an independent set. Only 3% of the pixels have a different classification than the unmodified set. Hence, if classification errors of rural areas are not to exceed 15%, a new training set has to be developed whenever the difference in turbidity between the training and test sets reaches one. © 1977.","The effect of differences in atmospheric turbidity on the classification of Landsat 1 observations of a rural scene is presented. The observations are classified by an unsupervised clustering technique. These clusters serve as a training set for use of a maximum likelihood algorithm. The measured radiances in each of the four spectral bands are then changed by amounts measured by Landsat 1. These changes can be associated with a 1.3 decrease in atmospheric turbidity. The classification of 22% of the pixels changes as a result of the modification. The modified observations are then reclassified as an independent set. Only 3% of the pixels have a different classification than the unmodified set. Hence, if classification errors of rural areas are not to exceed 15%, a new training set has to be developed whenever the difference in turbidity between the training and test sets reaches one. © 1977.",10.1016/0034-4257(77)90005-0,2-s2.0-0017597564,FALSE
SOIL INVENTORY FROM DIGITAL ANALYSIS OF SATELLITE SCANNER AND TOPOGRAPHIC DATA.,"['', '', '', '']",29,Journal,[],['SOIL MAPPING'],"A soil inventory of Chariton County, Missouri was prepared using computer-aided analysis of Landsat multispectral scanner (MSS) data to determine how spectral soil maps produced by digital analysis of satellite MSS data can accelerate and improve the quality of the National Cooperative Soil Survey Program. The digitized boundary data allowed the computer to manipulate, compile, extract, and present spectral class information within topographic or political units.","A soil inventory of Chariton County, Missouri was prepared using computer-aided analysis of Landsat multispectral scanner (MSS) data to determine how spectral soil maps produced by digital analysis of satellite MSS data can accelerate and improve the quality of the National Cooperative Soil Survey Program. The digitized boundary data allowed the computer to manipulate, compile, extract, and present spectral class information within topographic or political units.",10.2136/sssaj1977.03615995004100060031x,2-s2.0-0017558587,FALSE
"LANDSAT AND AIRBORNE MULTI-SPECTRAL AND THERMAL IMAGERY USED FOR GEOLOGICAL MAPPING AND IDENTIFICATION OF ORE HORIZONS IN LADY ANNIE-LADY LORETTA AND DUGALD RIVER AREAS, QUEENSLAND, AUSTRALIA.","['', '', '', '']",7,Journal,[],[],"The integrated use of multi-spectral and thermal imagery from satellites and aircraft is evaluated with reference to ground truth information in the Lady Anne-Lady Loretta and the Dugald River areas within the Mount Isa - Cloncurry mineral field of Australia. The presence of both lead-zinc deposits was disclosed on thermal imagery acquired during the pre-dawn-dawn period in 1971. The imagery was interpreted for the Lady Loretta area, which outlined the presence of the mineralization horizon, and an appropriate microdensitometer scan line across it is reproduced. Promising loci for mineralization, where distinctive spectral signatures indicative of iron-rich rocks occur along lineaments displayed on the satellite imagery, are suggested. Such areas merit further study.","The integrated use of multi-spectral and thermal imagery from satellites and aircraft is evaluated with reference to ground truth information in the Lady Anne-Lady Loretta and the Dugald River areas within the Mount Isa - Cloncurry mineral field of Australia. The presence of both lead-zinc deposits was disclosed on thermal imagery acquired during the pre-dawn-dawn period in 1971. The imagery was interpreted for the Lady Loretta area, which outlined the presence of the mineralization horizon, and an appropriate microdensitometer scan line across it is reproduced. Promising loci for mineralization, where distinctive spectral signatures indicative of iron-rich rocks occur along lineaments displayed on the satellite imagery, are suggested. Such areas merit further study.",,2-s2.0-0017557960,
Detection of naturally heavy-metal-poisoned areas by LANDSAT-1 digital data,"['60007049', 'Commonwealth Scientific and Industrial Research Organization', 'Melbourne', 'Australia']",11,Journal,[],[],"Natural poisoning of soil and vegetation due to heavy metals originating from sulphide deposits in the bedrock has been demonstrated at several locations in Norway. At some of these, the features of poisoning are rather widespread, suggesting that the recognition of such naturally poisoned areas by means of satellite imagery and satellite digital tapes might be possible. An occurrence of natural Cu poisoning near Karasjok, northern Norway, was selected as a training area. LANDSAT-1 computer compatible tapes were used to prepare enhanced colour ratio images and to calculate ratios of calibrated channel reflectances. Ground reflectance measurements were also carried out using radiometers with band passes equivalent to those on the LANDSAT multispectral scanner system. Compared with the surroundings the LANDSAT data over the training area showed unique spectral characteristics. These are also indicated on the enhanced ratio images, and the digital data can be utilized in supervised discriminant analysis and unsupervised ""cluster"" analysis. In particular, the area of the natural Cu poisoning shows low values in the band 7/band 5 reflectance ratio. At present, a detailed, precise numerical correlation between the ground and satellite reflectance data is not possible due to differences in resolution, although spatial correlation of spectral trends can be established. It appears that features of natural heavy metal poisoning can be located with the 0.45-hectare resolution of the LANDSAT multispectral scanner system. The search for such features might therefore be used as a tool in mineral exploration. The current resolution limitation can be overcome by utilizing scanners at aircraft altitudes. © 1977.","Natural poisoning of soil and vegetation due to heavy metals originating from sulphide deposits in the bedrock has been demonstrated at several locations in Norway. At some of these, the features of poisoning are rather widespread, suggesting that the recognition of such naturally poisoned areas by means of satellite imagery and satellite digital tapes might be possible. An occurrence of natural Cu poisoning near Karasjok, northern Norway, was selected as a training area. LANDSAT-1 computer compatible tapes were used to prepare enhanced colour ratio images and to calculate ratios of calibrated channel reflectances. Ground reflectance measurements were also carried out using radiometers with band passes equivalent to those on the LANDSAT multispectral scanner system. Compared with the surroundings the LANDSAT data over the training area showed unique spectral characteristics. These are also indicated on the enhanced ratio images, and the digital data can be utilized in supervised discriminant analysis and unsupervised ""cluster"" analysis. In particular, the area of the natural Cu poisoning shows low values in the band 7/band 5 reflectance ratio. At present, a detailed, precise numerical correlation between the ground and satellite reflectance data is not possible due to differences in resolution, although spatial correlation of spectral trends can be established. It appears that features of natural heavy metal poisoning can be located with the 0.45-hectare resolution of the LANDSAT multispectral scanner system. The search for such features might therefore be used as a tool in mineral exploration. The current resolution limitation can be overcome by utilizing scanners at aircraft altitudes. © 1977.",10.1016/0375-6742(77)90067-X,2-s2.0-0017542158,FALSE
