,forest,urban,water,crop,glacier,carbon,climate,water quality,climate change,soil erosion,urban expansion,ecosystem,habitat,ecosystem service,surface temperature,biomass,google earth engine,gis,object based image,machine learning,neural network,support vector machine,time series,change detection,random forest,normalized difference vegetation index,land surface temperature,normalized difference water index,digital elevation model,normalized difference built index,leaf area index,land use land cover
0,3032,70,23,10,3,411,35,7,177,20,16,587,179,89,74,359,78,180,23,110,79,87,507,168,377,251,51,24,101,1,93,118
1,70,1980,43,0,0,49,58,23,91,3,342,159,25,64,612,14,37,116,28,31,49,66,147,94,67,185,528,36,28,56,8,291
2,23,43,1688,51,6,32,35,355,122,16,7,210,58,20,82,37,53,51,3,30,49,37,183,35,46,89,38,123,51,3,22,62
3,10,0,51,587,0,14,3,2,6,3,0,13,2,1,28,33,18,29,10,25,24,28,130,8,52,88,22,4,3,0,33,4
4,3,0,6,0,635,3,24,1,91,0,0,5,3,1,23,0,1,32,5,6,8,5,43,8,7,3,6,5,114,0,0,0
5,411,49,32,14,3,1355,25,25,181,17,13,402,68,79,44,295,39,70,7,56,42,29,197,29,118,103,29,4,49,1,36,50
6,35,58,35,3,24,25,480,5,214,2,10,98,26,11,85,16,8,18,4,9,11,9,53,8,19,53,64,13,15,2,8,36
7,7,23,355,2,1,25,5,712,26,10,7,115,30,12,19,15,12,30,2,16,26,14,46,18,19,21,3,6,15,1,1,48
8,177,91,122,6,91,181,214,26,1412,16,31,359,88,57,162,79,64,68,12,50,40,42,227,53,100,149,127,42,57,7,9,133
9,20,3,16,3,0,17,2,10,16,314,3,49,10,7,9,7,4,24,1,4,6,4,21,14,6,22,6,1,49,0,3,43
10,16,342,7,0,0,13,10,7,31,3,564,62,15,19,100,1,13,43,7,8,10,27,69,62,19,36,90,4,5,8,3,123
11,587,159,210,13,5,402,98,115,359,49,62,2992,314,521,149,263,122,162,33,89,63,79,484,137,221,323,105,55,68,6,73,240
12,179,25,58,2,3,68,26,30,88,10,15,314,1223,65,33,59,30,98,14,21,18,28,110,50,65,91,20,19,50,1,10,81
13,89,64,20,1,1,79,11,12,57,7,19,521,65,521,22,32,30,33,10,14,9,19,77,13,35,34,21,9,9,1,4,67
14,74,612,82,28,23,44,85,19,162,9,100,149,33,22,2064,29,22,76,5,36,43,35,157,34,70,386,1500,74,47,65,42,249
15,359,14,37,33,0,295,16,15,79,7,1,263,59,32,29,1070,12,48,5,47,30,24,143,24,102,157,13,18,21,0,79,24
16,78,37,53,18,1,39,8,12,64,4,13,122,30,30,22,12,623,30,0,63,10,24,190,40,186,80,19,31,15,6,5,45
17,180,116,51,29,32,70,18,30,68,24,43,162,98,33,76,48,30,1747,10,43,50,49,150,96,78,126,55,31,112,4,18,167
18,23,28,3,10,5,7,4,2,12,1,7,33,14,10,5,5,0,10,220,20,5,26,32,17,39,14,5,5,14,0,1,34
19,110,31,30,25,6,56,9,16,50,4,8,89,21,14,36,47,63,43,20,607,115,151,95,37,298,53,35,18,35,3,14,36
20,79,49,49,24,8,42,11,26,40,6,10,63,18,9,43,30,10,50,5,115,823,173,56,42,118,60,39,18,35,8,24,53
21,87,66,37,28,5,29,9,14,42,4,27,79,28,19,35,24,24,49,26,151,173,784,87,62,195,85,30,24,29,6,4,92
22,507,147,183,130,43,197,53,46,227,21,69,484,110,77,157,143,190,150,32,95,56,87,2876,226,273,465,124,59,65,9,62,140
23,168,94,35,8,8,29,8,18,53,14,62,137,50,13,34,24,40,96,17,37,42,62,226,1177,75,97,25,28,20,8,2,191
24,377,67,46,52,7,118,19,19,100,6,19,221,65,35,70,102,186,78,39,298,118,195,273,75,1240,120,61,25,84,9,17,99
25,251,185,89,88,3,103,53,21,149,22,36,323,91,34,386,157,80,126,14,53,60,85,465,97,120,2255,321,218,80,93,98,150
26,51,528,38,22,6,29,64,3,127,6,90,105,20,21,1500,13,19,55,5,35,39,30,124,25,61,321,1500,66,36,63,23,229
27,24,36,123,4,5,4,13,6,42,1,4,55,19,9,74,18,31,31,5,18,18,24,59,28,25,218,66,487,29,50,6,32
28,101,28,51,3,114,49,15,15,57,49,5,68,50,9,47,21,15,112,14,35,35,29,65,20,84,80,36,29,1134,2,3,78
29,1,56,3,0,0,1,2,1,7,0,8,6,1,1,65,0,6,4,0,3,8,6,9,8,9,93,63,50,2,143,1,33
30,93,8,22,33,0,36,8,1,9,3,3,73,10,4,42,79,5,18,1,14,24,4,62,2,17,98,23,6,3,1,436,9
31,118,291,62,4,0,50,36,48,133,43,123,240,81,67,249,24,45,167,34,36,53,92,140,191,99,150,229,32,78,33,9,1711
