,forest,urban,water,crop,glacier,carbon,climate,water quality,climate change,soil erosion,urban expansion,ecosystem,habitat,ecosystem service,surface temperature,biomass,google earth engine,gis,object based image,machine learning,neural network,support vector machine,time series,change detection,random forest,normalized difference vegetation index,land surface temperature,normalized difference water index,digital elevation model,normalized difference built index,leaf area index,land use land cover
0,126,2,0,0,0,12,0,0,1,0,0,19,10,0,3,15,0,7,0,0,4,2,12,13,0,10,0,0,5,0,9,2
1,2,42,0,0,0,0,0,1,0,0,1,1,0,0,8,0,0,1,0,0,2,0,1,0,0,1,5,0,1,0,0,4
2,0,0,47,2,0,0,0,12,1,0,0,3,3,0,2,2,0,2,0,0,1,0,5,0,0,2,0,0,2,0,3,3
3,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,5,0,0,0,0,1,0
4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5,12,0,0,0,0,34,0,0,2,0,1,5,3,1,1,7,0,1,0,0,1,0,2,2,0,1,1,0,3,0,3,0
6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,0,1,12,0,0,0,0,19,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3
8,1,0,1,0,0,2,1,0,10,1,0,3,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,16,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
10,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0
11,19,1,3,0,0,5,0,1,3,3,0,83,7,9,1,10,0,2,0,0,2,0,6,9,0,6,0,1,4,0,6,5
12,10,0,3,0,0,3,0,0,1,0,0,7,58,0,0,5,0,6,0,0,0,0,3,3,0,4,0,0,4,0,1,2
13,0,0,0,0,0,1,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2
14,3,8,2,0,0,1,0,0,0,0,0,1,0,0,42,0,0,1,0,0,1,0,1,1,0,4,15,1,2,1,1,4
15,15,0,2,1,0,7,0,0,1,1,0,10,5,0,0,39,0,3,0,0,0,0,2,1,0,3,0,0,1,0,4,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,1,2,1,0,1,0,1,0,0,0,2,6,0,1,3,0,55,0,0,1,1,2,4,0,3,0,0,7,0,2,2
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,4,2,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,25,0,0,1,0,0,1,0,0,0,0,0
21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0
22,12,1,5,2,0,2,0,0,2,1,1,6,3,0,1,2,0,2,0,0,0,0,51,7,0,3,1,0,2,0,2,1
23,13,0,0,0,0,2,0,0,2,1,3,9,3,1,1,1,0,4,0,0,1,1,7,53,0,0,0,0,0,0,0,5
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,10,1,2,5,0,1,0,0,0,1,0,6,4,0,4,3,0,3,0,0,0,0,3,0,0,47,0,1,0,0,8,0
26,0,5,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,15,1,1,1,0,1
27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0
28,5,1,2,0,2,3,1,1,0,1,0,4,4,2,2,1,0,7,0,0,0,1,2,0,0,0,1,1,51,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
30,9,0,3,1,0,3,0,0,0,0,1,6,1,0,1,4,0,2,0,0,0,0,2,0,0,8,0,0,0,0,25,0
31,2,4,3,0,0,0,0,3,0,0,0,5,2,2,4,0,0,2,0,0,0,0,1,5,0,0,1,0,1,0,0,35
